Advisor,Location,Region,Sales Jan 22,Trades Jan 22,Sales Feb 22,Trades Feb 22,Sales Mar 22,Trades Mar 22,Sales Apr 22,Trades Apr 22,Sales May 22,Trades May 22,Sales Jun 22,Trades Jun 22,Sales Jul 22,Trades Jul 22,Sales Aug 22,Trades Aug 22,Sales Sep 22,Trades Sep 22,Sales Oct 22,Trades Oct 22,Sales Nov 22,Trades Nov 22,Sales Dec 22,Trades Dec 22,Sales Jan 23,Trades Jan 23,Sales Feb 23,Trades Feb 23,Sales Mar 23,Trades Mar 23,Sales Apr 23,Trades Apr 23,Sales May 23,Trades May 23,Sales Jun 23,Trades Jun 23,Sales Jul 23,Trades Jul 23,Sales Aug 23,Trades Aug 23,Sales Sep 23,Trades Sep 23,Sales Oct 23,Trades Oct 23,Sales Nov 23,Trades Nov 23,Sales Dec 23,Trades Dec 23,Sales Jan 24,Trades Jan 24,Sales Feb 24,Trades Feb 24,Sales Mar 24,Trades Mar 24,Sales Apr 24,Trades Apr 24,Sales May 24,Trades May 24,Sales Jun 24,Trades Jun 24,Sales Jul 24,Trades Jul 24,Sales Aug 24,Trades Aug 24,Sales Sep 24,Trades Sep 24
Bob,Toronto,America,760155.21,30,818287.6,38,872140.62,10,628787.86,75,364728.77,8,722811.15,76,869809.71,36,346929.12,1,678504.79,73,718869.79,98,643142.73,93,884503.01,91,660906.93,33,918532.77,36,564034.5,98,416654.56,87,35742.84,60,301384.64,26,699627.25,65,936997.0,91,697768.94,11,212923.29,9,723617.0,12,26152.3,24,806137.67,5,198265.72,14,134806.5,17,29697.11,17,3053.74,99,588463.77,85,797562.44,96,551010.53,96,161444.45,29
Grace,Buenos Aires,America,182725.86,25,241716.35,99,174893.19,59,213215.62,78,940453.18,3,645306.72,97,57246.77,3,701608.22,19,36544.56,57,171208.74,20,844957.06,59,528079.2,48,173408.24,90,840127.52,72,490402.03,45,234716.53,54,134813.28,81,469000.85,54,622294.23,18,634023.59,58,41003.12,55,326304.59,90,412778.27,57,17443.51,20,369301.04,85,788646.83,72,939436.19,73,672335.59,97,961298.94,53,183852.61,92,840553.58,7,196355.91,22,74934.57,47
Charlie,Johannesburg,Africa,567404.81,41,467037.23,65,262735.95,14,815921.79,21,18161.67,94,128798.22,57,174711.61,1,137759.79,95,780283.06,25,10383.11,20,650514.34,34,416902.45,57,948152.69,67,228748.28,93,426866.12,63,223425.66,66,83523.95,31,489221.72,3,197560.69,35,997808.67,99,459630.73,89,979499.35,17,316152.78,83,163361.36,10,452253.77,25,186423.45,15,363770.87,56,43964.73,56,466503.31,10,299154.23,57,993648.26,40,811052.26,67,540893.74,36
Charlie,Buenos Aires,America,626673.63,30,15970.45,97,453680.09,79,283970.69,1,613165.41,41,217159.11,71,488335.17,95,100639.7,95,596043.59,95,286010.12,49,63403.96,62,926875.67,71,856849.29,64,849039.43,53,877273.33,39,219930.58,57,141545.96,97,424079.0,75,658660.59,23,534194.2,73,331087.42,28,591444.57,81,51885.19,32,617633.78,41,529624.71,44,242548.03,33,914293.32,66,898262.71,74,918040.13,42,314998.79,30,491719.44,33,11919.13,50,481021.55,9
Frank,Shanghai,Asia,943748.39,37,116501.44,46,121765.14,88,286677.06,61,709730.72,24,600993.12,61,73963.63,35,883597.76,34,647351.28,63,647548.48,10,710057.38,96,596431.15,53,824152.72,13,280494.57,16,456044.14,9,432044.02,14,507945.15,34,716625.64,86,604415.5,66,797336.36,24,566003.22,26,122144.14,40,277108.01,45,991867.35,70,709445.7,91,323017.33,67,155732.62,0,804651.47,60,334538.71,23,54652.78,39,75791.67,64,845607.57,76,586227.22,66
Eve,Hong Kong,Asia,606359.0,63,643448.84,93,782965.38,43,692453.77,32,594777.86,95,612956.56,48,836744.33,62,956089.53,64,137240.12,95,142431.03,93,317922.81,89,237925.17,51,365070.44,72,868590.48,57,648986.12,69,738269.76,43,550401.2,64,84813.77,76,544270.45,20,761388.58,19,636220.08,35,57900.21,88,636594.44,21,127707.23,81,272004.81,67,341398.33,36,43589.56,66,684077.49,42,548054.85,99,299779.42,36,240237.68,95,650753.27,28,193180.95,55
Bob,Johannesburg,Africa,621623.4,87,957321.59,72,229174.96,19,528776.71,2,230961.85,50,456624.86,16,932929.97,74,917064.77,26,856163.74,40,287046.92,72,235640.53,94,537852.24,72,725669.52,56,789956.12,13,155666.74,35,618580.94,11,820171.2,28,577995.64,74,343534.11,89,774047.13,53,980639.99,18,941969.88,76,30008.29,77,582654.68,31,703235.61,42,101416.19,58,687216.26,59,641724.91,97,633944.21,51,214626.17,83,745406.67,56,438831.7,39,68344.16,60
David,Johannesburg,Africa,420547.38,37,829471.53,50,808580.1,14,879266.14,43,302418.83,64,18639.56,93,543795.2,58,309372.96,94,444593.61,66,827479.18,72,898647.46,40,487745.69,67,967660.32,55,18486.06,13,899453.75,39,242115.27,5,300151.38,87,686289.02,11,995390.05,0,419258.2,59,517490.89,62,320455.33,17,414354.33,38,565069.85,13,644400.19,32,359341.95,71,894492.92,43,801868.34,84,356369.18,2,502453.35,67,463805.17,98,357069.2,61,687959.18,55
Eve,Berlin,Europe,19254.14,73,329854.12,5,85622.31,6,626494.53,41,85868.96,58,212905.12,64,119776.53,59,925920.1,80,152468.48,97,391808.28,31,356201.28,50,559624.8,16,664746.49,20,599798.08,45,134075.6,53,991866.45,74,509037.13,34,964777.97,35,831114.49,44,333516.69,39,334739.93,5,19858.51,87,756893.32,31,559196.71,72,525848.99,60,262641.95,56,643188.35,2,587898.32,4,554562.13,57,590062.16,28,450758.94,28,333068.25,66,126800.25,41
Adam,Los Angeles,America,573794.79,4,911839.13,88,828698.27,21,200722.31,81,578727.48,27,909257.98,15,726387.02,32,835380.48,90,32430.43,22,736820.79,58,290541.82,86,669939.32,83,445910.1,74,517850.91,52,894910.98,52,611391.67,26,443469.05,94,459032.31,54,784529.94,99,565031.52,12,432473.13,86,832056.38,12,981004.7,20,29422.38,35,577123.48,15,858592.48,47,342396.55,52,711216.44,59,996341.45,62,516885.64,44,262393.29,6,285431.58,60,78496.17,90
Adam,Los Angeles,America,311577.95,35,543745.34,76,693223.83,42,975039.83,15,478900.43,81,148702.13,95,286453.4,10,115360.61,60,973881.91,13,666196.35,28,106834.7,94,604155.49,82,151673.58,79,6464.54,41,639849.07,37,139383.82,36,352987.12,65,653890.33,66,819477.52,47,263484.02,87,236008.41,18,925056.2,66,412855.23,12,103927.49,19,357690.1,38,728644.04,94,779654.13,18,583511.36,12,392516.46,0,764214.69,0,81381.63,88,367186.46,61,125617.47,44
Adam,Rome,Europe,913152.87,32,859727.61,57,796737.34,77,513134.83,84,908364.21,15,405516.69,92,44299.18,67,793784.0,31,960036.51,10,386767.16,89,941232.16,96,197526.11,32,791857.08,69,158224.61,20,118395.63,39,56168.52,76,436425.08,52,342763.27,56,422527.97,31,923556.8,16,573452.69,7,145033.66,57,223065.94,87,766402.07,73,786095.26,70,550884.89,19,956170.13,70,775675.66,76,503265.08,46,708375.65,69,550080.0,31,686853.15,22,763067.58,67
Grace,Tokyo,Asia,492437.53,24,952257.11,78,516738.84,89,107194.18,19,282722.76,40,650559.66,52,422656.35,72,572135.76,25,75385.35,29,177363.32,45,850925.74,87,972437.89,15,456617.07,81,775662.45,49,771789.53,55,908120.78,81,619357.02,42,453377.5,48,919567.84,24,182824.94,5,344886.13,14,736814.64,94,590447.52,89,448892.41,71,815044.25,24,873927.62,63,870589.23,45,820653.29,17,380917.42,14,676843.35,5,2151.89,15,698623.71,97,160.41,9
Grace,Hong Kong,Asia,749250.1,15,959641.5,80,991990.19,87,759398.83,70,869179.55,23,597904.35,35,834315.79,93,143819.35,93,489435.23,88,465091.82,40,213645.66,28,341742.34,66,891167.45,28,308793.53,78,413599.05,46,549761.69,52,663065.47,8,605117.74,96,538890.6,93,682472.81,16,381255.61,77,967335.04,89,695589.81,71,702396.22,57,321485.52,97,907011.64,13,160061.9,54,227269.5,80,280212.29,86,458011.82,33,193468.93,67,532982.54,5,857009.28,86
David,Lagos,Africa,725555.19,97,131126.78,66,585307.17,13,82637.49,37,254047.23,76,756161.56,60,375525.48,13,93654.3,73,260824.61,18,488030.6,3,950209.34,55,949101.37,88,660527.49,43,836988.13,25,994585.63,41,361096.04,40,931696.01,72,196321.51,51,492176.18,44,890354.04,29,13517.84,43,851236.64,2,765818.38,55,521622.23,65,766008.04,17,68699.49,83,247312.36,76,847133.25,27,378613.92,20,147885.14,94,904858.65,81,937191.58,81,321351.22,17
Adam,Paris,Europe,432909.96,54,271437.74,48,76257.8,49,95849.11,4,875339.86,66,179365.77,18,411899.52,94,673449.07,38,90936.65,44,160154.39,38,855956.95,9,711235.18,99,726699.46,97,63649.22,88,240476.07,96,811022.57,86,925027.08,86,67080.7,14,296502.28,33,4333.2,1,365508.55,79,824245.29,85,601025.12,49,4226.12,38,59609.7,82,796508.24,33,643661.8,33,725298.04,49,206836.49,31,945940.7,16,195055.13,36,30346.99,45,547502.26,45
Frank,London,Europe,324971.78,61,694108.1,20,442793.07,96,343371.87,87,925219.94,85,961104.21,6,835063.34,8,272319.06,5,790837.91,81,86907.36,67,206261.22,78,375363.23,10,772981.57,70,689534.11,69,315248.88,59,586360.75,34,59189.14,32,387289.64,25,218390.88,92,535714.38,92,676509.41,12,789010.28,0,234912.09,53,887111.21,82,729370.66,60,663644.97,87,293337.7,31,154730.37,68,598629.58,34,340128.2,62,594728.3,84,283917.24,73,857155.44,44
Grace,Tokyo,Asia,108734.74,4,989293.25,53,530112.12,0,465409.32,83,598740.51,97,240095.93,16,756187.53,49,273073.99,46,944111.6,83,257083.32,2,670730.29,45,924828.42,52,805311.27,50,905961.31,7,809793.15,87,498821.47,84,60079.0,53,181409.32,32,932627.36,61,332797.32,7,481514.83,7,436402.01,80,813581.69,76,880326.94,10,973001.27,90,759293.04,95,315809.67,74,902406.22,52,63744.96,12,476098.42,53,514897.68,43,817249.8,9,127648.89,78
Frank,Paris,Europe,242266.97,90,682384.84,26,956828.86,21,834978.23,38,473179.02,49,752893.61,57,445972.71,6,121450.9,19,335430.29,22,242614.62,42,877411.25,19,18429.3,49,168665.14,73,959721.53,18,8166.61,64,182160.23,59,911832.31,48,69340.52,55,471695.67,37,682024.17,19,737532.97,56,591664.89,34,963586.1,12,393558.69,94,559672.49,90,112674.32,18,508388.81,50,429815.35,39,805363.91,4,280484.52,66,628134.23,61,515218.57,36,678566.33,26
Eve,New York,America,224923.25,11,522952.01,56,51821.52,40,84189.49,48,623473.64,18,716020.18,30,545185.59,75,44913.61,75,316052.13,14,848019.11,65,744794.02,45,267059.31,91,295263.61,84,154267.24,62,901758.76,72,649197.11,60,759151.74,24,180499.82,13,737017.64,60,427324.49,28,673875.51,24,336245.16,6,960550.34,94,444683.14,84,245881.19,38,313666.75,62,431941.08,87,397756.28,57,78963.49,46,131927.4,0,27494.52,86,792638.21,0,438268.33,57
Frank,Rome,Europe,831285.57,80,196446.96,0,472630.93,52,31769.86,40,897103.77,10,609607.96,77,836466.24,30,69280.67,61,946190.7,23,568808.7,98,559331.7,0,558289.5,56,606913.25,83,322406.36,85,502461.08,78,201015.67,68,368580.6,35,485761.08,55,909870.9,98,470905.11,54,841502.24,35,835692.25,77,268563.12,11,716047.96,24,767845.51,18,755410.97,26,149871.59,72,719013.17,73,969708.4,92,833993.21,40,518224.36,95,241721.46,35,498615.54,5
David,Paris,Europe,947044.88,91,122560.66,88,697106.11,4,906532.32,85,603040.6,12,812068.82,79,794111.92,79,677310.82,17,268789.07,90,365084.23,68,211710.21,73,895006.58,71,117356.15,14,401909.9,2,957740.01,79,746924.74,24,381248.76,76,195836.11,57,951055.57,63,290277.26,25,869388.07,45,707344.15,24,92496.25,10,688963.11,4,40145.32,62,70114.24,6,512446.56,53,343668.61,72,579053.31,12,336012.99,85,294871.5,39,405971.99,96,637364.97,45
Frank,Toronto,America,206685.84,86,348027.03,82,898723.62,74,685912.32,97,47745.9,54,606897.59,21,47624.82,49,707233.12,64,10082.01,84,913482.46,48,615058.6,85,892567.4,21,629485.74,86,139162.43,62,329031.59,4,329000.68,54,329601.66,66,861731.45,94,570847.96,24,20402.29,59,982537.07,6,728823.6,64,208809.84,14,806351.15,77,757523.27,97,616949.02,62,904993.14,89,410248.14,60,486348.26,84,113144.99,23,169255.84,59,982928.83,51,437808.52,58
Frank,Buenos Aires,America,302908.68,40,436309.24,14,660332.05,6,103336.54,12,796141.03,87,906171.49,38,44034.07,18,395405.95,71,162812.29,7,559195.26,74,524835.47,46,767998.27,87,303376.99,34,501430.82,39,17735.51,45,131570.05,92,747986.8,5,792480.27,49,419892.09,84,197072.26,53,224943.65,61,747322.18,22,591585.56,54,264773.92,84,334950.04,72,219856.09,39,55520.8,78,52885.47,84,126656.28,70,118340.8,11,570531.71,29,790088.09,39,339987.61,70
Adam,Madrid,Europe,397527.08,41,853461.35,36,167576.62,64,117294.9,36,973706.58,58,875642.19,87,656628.52,63,80724.16,18,943693.91,97,636015.2,18,445195.45,19,82844.42,10,812513.88,64,662353.61,37,185467.44,83,209764.53,63,870678.61,11,559484.3,10,232505.09,87,622944.46,58,270695.23,36,716754.73,53,705921.93,59,772396.84,8,865494.31,19,256764.75,86,308586.92,63,783138.96,67,216177.77,70,197122.79,79,421984.83,64,303098.77,4,562978.76,29
Frank,Shanghai,Asia,102668.78,82,612748.49,2,824095.72,66,907110.95,79,887824.17,18,141817.69,76,888636.85,35,224209.95,59,292652.9,86,757961.12,53,648321.61,6,716020.45,81,169762.2,51,38051.5,75,797430.82,75,523602.78,73,269619.46,5,589708.78,43,24603.33,89,254154.13,8,396270.39,31,900083.65,67,897590.47,57,121140.96,44,747285.86,58,471120.58,54,98363.36,57,882779.61,7,416618.45,59,960871.06,64,942361.06,79,780431.11,26,727134.25,21
David,Hong Kong,Asia,820244.44,60,544804.5,57,686251.47,41,730527.33,29,323285.35,48,943854.95,29,346951.1,77,12808.65,11,175079.36,94,744290.89,68,792268.12,70,403347.64,29,939003.67,63,394027.97,55,143617.8,81,719805.06,40,530087.59,51,682839.43,89,848898.75,73,792044.81,12,22145.59,97,827236.05,70,471277.89,45,459428.33,99,39139.34,10,908072.04,93,50016.28,90,352834.02,61,291507.48,49,300474.22,26,184862.25,78,788398.85,64,567826.43,12
Frank,Madrid,Europe,953485.63,62,118506.32,27,792011.42,10,169521.05,43,571537.66,83,236425.43,7,399838.76,99,897442.13,9,124918.89,27,719968.26,32,922651.0,97,187666.33,86,575962.29,29,104608.59,26,38859.29,14,392177.56,45,289468.61,67,112690.09,25,489613.82,15,746963.5,67,448289.84,48,127225.94,29,849066.03,96,820642.57,7,672737.2,30,487802.15,0,372407.75,59,998296.97,18,718854.97,0,317661.12,49,896869.37,57,437174.54,91,886613.52,96
Grace,Hong Kong,Asia,583571.2,35,594003.61,82,481155.87,59,863329.26,98,955244.95,82,723454.17,41,543465.44,36,999610.34,41,686806.9,71,168273.35,30,95323.52,4,697626.36,27,618527.23,74,486085.3,22,485276.66,22,652142.96,5,241883.14,20,604115.04,62,304252.06,51,548699.47,43,264999.55,8,627840.88,50,474023.51,21,633897.91,23,249085.05,57,883412.95,40,946005.06,53,604634.93,22,730355.24,6,799232.15,49,559443.41,44,773757.88,29,320859.23,0
Charlie,Los Angeles,America,704095.49,81,665581.18,94,390265.04,34,615113.45,81,884575.02,14,333946.26,83,865280.56,26,538721.03,92,857300.22,35,464551.6,40,196097.97,39,777318.77,38,848021.57,5,21246.98,25,292096.14,70,201788.99,93,491728.65,40,909471.54,5,180940.72,25,813449.98,13,688491.26,89,628179.14,91,955623.97,90,44470.31,32,504954.67,83,801070.17,60,923091.23,44,509771.07,45,502891.65,93,533515.47,35,484290.69,33,608432.82,99,924423.96,98
David,New York,America,699372.9,92,83495.52,18,435611.39,49,22394.48,0,822394.24,96,236942.81,95,469051.05,89,790087.11,88,467885.01,32,764031.07,6,887110.5,22,268450.06,56,520090.34,39,199545.38,37,673023.08,16,142945.59,72,595333.22,24,891933.08,52,950087.92,18,717438.26,94,530065.01,45,293176.24,41,792079.34,66,385122.53,26,475805.13,64,259182.96,0,458305.48,63,744041.33,93,711656.87,60,396730.33,32,30558.77,4,816889.52,86,287418.53,7
Frank,Paris,Europe,980502.75,76,372139.5,57,178110.47,18,146438.77,45,362204.37,61,169479.43,18,897121.72,26,192884.85,10,457424.84,23,302470.87,37,232383.43,34,11764.6,21,447373.45,16,548536.07,47,35553.87,21,431066.29,2,534960.16,13,463276.8,62,990705.02,70,94067.48,75,674192.44,25,61520.38,32,65675.16,34,598567.89,40,550280.83,18,321857.86,30,944810.13,39,442910.02,34,21469.19,11,403344.69,44,142682.02,76,309258.76,16,739134.74,55
Adam,Singapore,Asia,476268.88,60,238325.44,59,859675.45,45,673332.7,22,866860.36,39,944840.19,27,962909.75,41,286496.92,84,166918.45,74,350491.38,94,468476.27,49,41553.09,63,588242.99,24,23629.91,34,60743.22,69,841614.24,35,520227.54,40,371343.5,36,455353.17,26,38640.68,13,413665.28,39,793492.43,35,187472.99,96,950081.03,13,231282.78,95,113961.61,18,341792.87,50,90372.63,2,712258.53,52,790823.69,83,360588.34,84,55018.15,81,143402.56,50
Adam,Madrid,Europe,351821.28,0,61316.81,39,932167.49,27,815196.57,34,116886.24,65,158953.31,84,756446.24,43,783732.05,91,976665.11,66,414261.28,10,671206.07,43,792644.01,65,417304.14,59,845073.94,64,270541.96,45,754664.68,71,362322.36,59,272346.86,3,361486.51,73,99039.24,34,744971.67,74,248435.36,80,79863.93,79,348775.5,18,729745.37,64,203734.58,25,147838.34,45,448165.22,54,35842.42,75,376296.49,98,516317.8,22,513860.59,92,682557.28,75
Charlie,Lagos,Africa,505818.82,1,560386.03,71,90540.6,2,544442.79,16,270701.41,55,447082.2,7,178162.78,77,102481.96,48,155220.67,69,554064.92,97,164395.01,83,611805.41,25,605361.88,77,623827.31,12,517978.18,42,728409.41,10,740408.94,94,330680.28,26,807567.64,74,845593.12,1,666693.3,91,884088.71,87,738810.94,87,732164.19,60,984640.7,59,462624.57,7,925328.1,24,873984.8,75,306541.77,58,500311.16,84,936095.79,67,421645.46,31,647226.93,77
Adam,London,Europe,49034.04,12,980376.81,95,662607.88,39,374007.56,8,755378.15,87,272143.12,58,94991.96,59,213458.54,20,622393.4,81,457754.92,45,447183.53,82,931089.43,60,27826.09,14,849484.6,6,282480.56,17,24359.14,9,326340.09,8,226208.44,73,38077.0,68,927148.58,46,339242.27,5,168129.82,49,279415.9,62,293312.66,27,960595.35,10,11045.51,43,173078.92,78,839404.31,29,180208.96,44,574048.12,93,903184.91,56,553411.87,74,715120.71,80
Bob,New York,America,610207.59,85,738226.28,18,803012.77,24,915114.24,48,445504.68,34,258108.66,23,654657.6,37,475429.54,81,815369.95,12,537498.6,63,996981.38,41,984822.31,19,693339.66,89,74724.78,43,792498.79,32,946351.91,1,487305.95,90,280455.67,88,675706.88,1,513962.34,57,219917.34,71,135615.49,30,352423.14,36,539538.23,79,273970.34,25,247376.87,70,651396.32,87,400630.49,27,437861.05,5,377690.21,28,97536.32,27,702914.77,77,830515.47,27
David,New York,America,893213.21,30,742990.56,50,523065.5,29,903626.32,35,876298.34,71,486551.12,49,608398.19,11,360776.93,7,835711.67,34,56220.47,42,796583.66,64,994706.32,91,883682.49,78,715903.5,5,202510.73,95,667393.14,65,488816.21,34,713778.75,32,718128.14,23,246302.47,28,383479.84,26,705351.65,46,517212.33,61,157491.48,8,569589.82,52,759734.14,92,493148.22,68,402168.57,97,969800.68,64,8270.33,53,84047.67,10,120235.2,24,408235.8,45
Eve,Madrid,Europe,40418.05,16,561535.44,70,133453.01,6,299184.4,52,550185.83,58,349360.81,85,800147.82,17,835401.55,71,393804.96,40,792447.68,25,335738.63,39,38549.85,48,114941.24,53,687136.12,21,468181.45,37,954553.97,69,798917.62,25,428298.0,57,14898.02,72,454066.19,57,9059.0,52,656991.74,18,814266.96,61,824529.81,27,582546.65,70,35166.37,25,788092.39,0,304640.87,0,613978.28,85,848428.59,26,578212.3,10,828572.93,17,888863.08,53
Charlie,Hong Kong,Asia,203690.27,89,909331.48,54,972275.55,10,24758.39,91,931612.33,9,988500.51,27,825539.0,1,869869.34,62,266152.2,42,42946.47,26,340489.34,23,688866.92,90,346240.63,30,973820.68,9,998458.67,57,708722.84,75,296660.58,58,495418.81,86,554607.71,94,523003.02,53,762936.47,66,18902.45,54,637849.62,29,83745.91,22,644983.7,33,569709.01,9,770913.89,51,859364.29,11,334706.42,85,430042.87,89,174942.6,81,922443.1,28,642309.1,5
Bob,Madrid,Europe,168045.62,91,454875.82,52,864212.49,94,31806.03,75,303787.83,21,853144.6,87,673772.17,92,775745.54,68,412760.96,29,822716.73,24,866818.95,95,612960.02,35,783790.85,29,365361.0,66,801803.68,58,551196.97,0,669483.82,40,509231.07,43,164614.75,74,142461.73,42,963637.77,38,213818.12,96,434086.18,24,692758.86,91,713053.49,47,275332.17,16,678383.77,29,978467.22,25,593088.88,41,94524.79,57,491636.83,28,599093.42,94,263263.96,85
Grace,Tokyo,Asia,224283.69,81,749603.84,85,768474.87,5,473649.92,5,385978.3,48,713419.22,87,20427.2,11,763048.35,59,983410.7,65,321091.25,94,364181.56,75,709358.73,4,789877.25,14,606237.54,43,482082.07,44,850722.06,98,423019.45,90,263293.96,46,989661.11,89,609569.72,12,308680.86,56,745039.32,43,321493.84,43,306220.95,20,176307.9,26,698133.42,43,686148.93,39,172314.32,99,493500.87,1,699809.56,68,182894.51,88,484178.61,17,275532.53,60
